source_node,target_node,relationship_type,relationship_source,relationship_strength,clinical_substitution_supported,graph_view
NODE_PIROXICAM,NODE_CARISOPRODOL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (817105),0.4,False,SIMILARITY
NODE_PIROXICAM,NODE_ORPHENADRINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (819919),0.4,False,SIMILARITY
NODE_PIROXICAM,NODE_CHLORZOXAZONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (813792),0.4,False,SIMILARITY
NODE_HYDROMORPHONE,NODE_ATROPINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1007561),0.4,False,SIMILARITY
NODE_MEPERIDINE,NODE_ATROPINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (689609),0.4,False,SIMILARITY
NODE_LATANOPROST,NODE_TIMOLOL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (388053),0.4,False,SIMILARITY
NODE_TIMOLOL,NODE_BRIMONIDINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (597142),0.4,False,SIMILARITY
NODE_TIMOLOL,NODE_DORZOLAMIDE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (662263),0.4,False,SIMILARITY
NODE_TIMOLOL,NODE_PILOCARPINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (812232),0.4,False,SIMILARITY
NODE_BRIMONIDINE,NODE_BRINZOLAMIDE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1421450),0.4,False,SIMILARITY
NODE_BETAXOLOL,NODE_PILOCARPINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1008103),0.4,False,SIMILARITY
NODE_PREDNISOLONE,NODE_ATROPINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (689615),0.4,False,SIMILARITY
NODE_PREDNISOLONE,NODE_ESTRADIOL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1007263),0.4,False,SIMILARITY
NODE_TRETINOIN,NODE_FLUOCINOLONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (465680),0.4,False,SIMILARITY
NODE_TAZAROTENE,NODE_HALOBETASOL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (2166088),0.4,False,SIMILARITY
NODE_CROTAMITON,NODE_FLUOCINOLONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1008410),0.4,False,SIMILARITY
NODE_TESTOSTERONE,NODE_ESTRADIOL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (214553),0.4,False,SIMILARITY
NODE_TESTOSTERONE,NODE_ESTRONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (692988),0.4,False,SIMILARITY
NODE_ESTRADIOL,NODE_ESTRIOL,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (1007715, 1007941, 1008692)",0.4,False,SIMILARITY
NODE_ESTRADIOL,NODE_ESTRONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (818996),0.4,False,SIMILARITY
NODE_ESTRADIOL,NODE_ETHINYL ESTRADIOL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1008359),0.4,False,SIMILARITY
NODE_ESTRADIOL,NODE_NORETHINDRONE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (214551, 1007941, 2556806, 2371763)",0.4,False,SIMILARITY
NODE_ESTRADIOL,NODE_DROSPIRENONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (997923),0.4,False,SIMILARITY
NODE_ESTRADIOL,NODE_LEVONORGESTREL,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (1008692, 1008359, 687333)",0.4,False,SIMILARITY
NODE_ESTRADIOL,NODE_NORGESTIMATE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (261414),0.4,False,SIMILARITY
NODE_ESTRIOL,NODE_NORETHINDRONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1007941),0.4,False,SIMILARITY
NODE_ESTRIOL,NODE_LEVONORGESTREL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1008692),0.4,False,SIMILARITY
NODE_ETHINYL ESTRADIOL,NODE_NORETHINDRONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (384410),0.4,False,SIMILARITY
NODE_ETHINYL ESTRADIOL,NODE_NORGESTREL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (37075),0.4,False,SIMILARITY
NODE_ETHINYL ESTRADIOL,NODE_DESOGESTREL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (324044),0.4,False,SIMILARITY
NODE_ETHINYL ESTRADIOL,NODE_DROSPIRENONE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (840781, 1013625)",0.4,False,SIMILARITY
NODE_ETHINYL ESTRADIOL,NODE_LEVONORGESTREL,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (214558, 1008359)",0.4,False,SIMILARITY
NODE_ETHINYL ESTRADIOL,NODE_ETYNODIOL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (214557),0.4,False,SIMILARITY
NODE_ETHINYL ESTRADIOL,NODE_NORGESTIMATE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (214559),0.4,False,SIMILARITY
NODE_MAGNESIUM SULFATE,NODE_POTASSIUM CHLORIDE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (2465552, 1008228, 2641138)",0.4,False,SIMILARITY
NODE_MAGNESIUM SULFATE,NODE_ZINC SULFATE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (1314653, 1007316, 1314785, 1007251, 1007896, 1314665)",0.4,False,SIMILARITY
NODE_SODIUM BICARBONATE,NODE_POTASSIUM CHLORIDE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (1007071, 815308, 815276)",0.4,False,SIMILARITY
NODE_SODIUM BICARBONATE,NODE_MAGNESIUM CHLORIDE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (1008784, 1007071)",0.4,False,SIMILARITY
NODE_POTASSIUM CHLORIDE,NODE_MAGNESIUM CHLORIDE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (1007995, 1008283, 1008929, 1009072, 1007748, 1008782, 1007071, 1007313, 1007749, 1007776, 1007530, 1008699, 1007546, 1007314, 1007994, 1007721, 1009141, 1007526, 1007338)",0.4,False,SIMILARITY
NODE_AZITHROMYCIN,NODE_DOXYCYCLINE,SAME_THERAPEUTIC_CATEGORY,FDA Open Data Therapeutic Category,0.2,False,SIMILARITY
